puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-4,-3.0
dotogether-o.lgp,T,3,-2.2
dotogether-b.lgp,T,-3,-1.9000001
dotogether-e.lgp,T,-1,-0.5
dotogether-d.lgp,T,-2,-2.0
dotogether-m.lgp,T,-3,-1.4000001
dotogether-i.lgp,T,-3,-1.2
dotogether-l.lgp,T,-3,-2.0
dotogether-c.lgp,T,0,-1.8
dotogether-f.lgp,T,-3,-1.4000001
dotogether-j.lgp,T,-2,-0.79999995
dotogether-g.lgp,T,-3,-1.5
dotogether-n.lgp,T,-3,-2.2
dotogether-k.lgp,T,-2,-1.5999999
dotogether-h.lgp,T,0,-1.5999999
repeat-gg.lgp,C,-3,-2.8
repeat-e.lgp,C,-2,-3.0
repeat-f.lgp,C,-2,-2.3
repeat-ee.lgp,C,-4,-2.9
repeat-m.lgp,C,-4,-3.4
repeat-a.lgp,C,-1,-3.7
repeat-b.lgp,C,-2,-2.6
repeat-g.lgp,C,-3,-2.6
repeat-hh.lgp,CbCe,-2,0.5999999
repeat-dd.lgp,CbCe,0,-1.0
repeat-cc.lgp,CbCe,-2,-0.20000005
repeat-c.lgp,CbCe,-3,0.19999981
repeat-ii.lgp,CbCe,-2,0.5999999
repeat-ff.lgp,CbCe,1,0.5
repeat-j.lgp,CbTe,-4,-1.8
repeat-o.lgp,CbTe,-2,-2.6
repeat-i.lgp,CbTe,-4,-1.2
repeat-n.lgp,CbTe,-1,-1.9000001
repeat-w.lgp,TbCe,-4,-1.5
repeat-q.lgp,TbCe,0,-1.0
repeat-x.lgp,TbCe,-2,-1.8
repeat-l.lgp,TbCe,-3,-1.5
