puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-3,-3.6
dotogether-o.lgp,T,-3,-2.8
dotogether-m.lgp,T,-3,-3.0
dotogether-e.lgp,T,-2,-3.1
dotogether-c.lgp,T,-4,-3.0
dotogether-f.lgp,T,-2,-3.2
dotogether-l.lgp,T,-4,-3.4
dotogether-j.lgp,T,-2,-2.8
dotogether-g.lgp,T,-4,-3.6
dotogether-h.lgp,T,-3,-3.3
repeat-gg.lgp,C,-4,-2.9
repeat-e.lgp,C,-3,-3.5
repeat-f.lgp,C,-2,-3.4
repeat-m.lgp,C,-4,-3.2
repeat-g.lgp,C,-3,-2.4
repeat-cc.lgp,CbCe,-3,-1.0999999
repeat-dd.lgp,CbCe,2,-1.9000001
repeat-hh.lgp,CbCe,-1,0.4000001
repeat-ff.lgp,CbCe,-1,0.3000002
repeat-o.lgp,CbTe,-4,-2.7
repeat-n.lgp,CbTe,-3,-3.1
repeat-x.lgp,TbCe,-4,-1.3
repeat-w.lgp,TbCe,-2,-1.0999999
repeat-p.lgp,TbCe,-4,-1.5999999
repeat-r.lgp,TbCe,1,-1.0
repeat-y.lgp,TbCe,0,-0.5999999
repeat-aa.lgp,CbTe/TbCe,-4,-1.4
doinorder-l.lgp,TbOe,-3,-3.0
doinorder-a.lgp,TbOe,5,-2.5
doinorder-k.lgp,TbOe,-4,-2.3
doinorder-n.lgp,TbOe,-2,-2.2
doinorder-b.lgp,TbOe,5,-2.7
doinorder-o.lgp,TbOe,1,-2.5
doinorder-w.lgp,TbOe,-2,-2.1
doinorder-g.lgp,TbOe,-4,-3.3
doinorder-x.lgp,TbOe,-1,-2.4
doinorder-f.lgp,TbOe,-4,-3.0
doinorder-d.lgp,TbOe,-2,-3.2
doinorder-r.lgp,TbOe,5,-2.3
doinorder-q.lgp,TbOe,-2,-2.9
doinorder-y.lgp,TbOe,-2,-1.5999999
doinorder-s.lgp,TbObTee,-4,0.19999981
doinorder-z.lgp,TbObTee,-4,-1.9000001
doinorder-t.lgp,TbObTee,-4,-2.7
doinorder-u.lgp,TbObTee,-3,-2.7
doinorder-j.lgp,TbObTee,-4,-2.0
