puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-4,-2.8
dotogether-b.lgp,T,-3,-3.2
dotogether-o.lgp,T,-3,-3.2
dotogether-e.lgp,T,-1,-3.0
dotogether-d.lgp,T,-3,-2.9
dotogether-m.lgp,T,-3,-2.9
dotogether-n.lgp,T,-3,-3.6
dotogether-c.lgp,T,-1,-3.1
dotogether-f.lgp,T,0,-2.9
dotogether-l.lgp,T,-4,-2.9
dotogether-j.lgp,T,1,-1.8
dotogether-g.lgp,T,-1,-1.9000001
dotogether-h.lgp,T,1,-1.9000001
repeat-ee.lgp,C,-2,-2.6
repeat-f.lgp,C,-1,-1.8
repeat-e.lgp,C,-2,-2.6
repeat-gg.lgp,C,-2,-2.6
repeat-b.lgp,C,-2,-2.4
repeat-dd.lgp,CbCe,2,-0.9000001
repeat-cc.lgp,CbCe,-2,-1.3
repeat-g.lgp,C,-1,-2.8
repeat-a.lgp,C,-2,-2.5
repeat-c.lgp,CbCe,-2,-1.5
repeat-hh.lgp,CbCe,-3,-1.5
repeat-ii.lgp,CbCe,-2,-1.5999999
repeat-ff.lgp,CbCe,-2,-0.5999999
repeat-o.lgp,CbTe,-2,-1.7
repeat-j.lgp,CbTe,-2,-2.2
repeat-n.lgp,CbTe,-2,-1.5999999
repeat-x.lgp,TbCe,-1,-0.5
repeat-q.lgp,TbCe,3,0.3000002
repeat-y.lgp,TbCe,1,0.9000001
repeat-r.lgp,TbCe,5,0.19999981
repeat-l.lgp,TbCe,1,0.5999999
repeat-w.lgp,TbCe,1,0.0
repeat-p.lgp,TbCe,-1,-0.5999999
repeat-z.lgp,CbTe/TbCe,0,-0.1500001
repeat-s.lgp,CbTe/TbCe,2,0.29999995
repeat-i.lgp,CbTe,-2,-1.5999999
repeat-aa.lgp,CbTe/TbCe,0,-0.6
doinorder-a.lgp,TbOe,-1,1.5
doinorder-k.lgp,TbOe,0,0.4000001
doinorder-l.lgp,TbOe,-1,1.9000001
doinorder-f.lgp,TbOe,-1,1.1999998
doinorder-w.lgp,TbOe,0,-0.29999995
doinorder-o.lgp,TbOe,3,1.1999998
doinorder-g.lgp,TbOe,-1,1.0999999
doinorder-n.lgp,TbOe,-1,0.099999905
doinorder-b.lgp,TbOe,2,1.3000002
doinorder-x.lgp,TbOe,-1,0.9000001
doinorder-q.lgp,TbOe,3,0.4000001
doinorder-p.lgp,TbOe,-1,-0.5
doinorder-d.lgp,TbOe,0,0.19999981
doinorder-r.lgp,TbOe,-1,0.099999905
doinorder-t.lgp,TbObTee,-2,1.8000002
doinorder-z.lgp,TbObTee,-2,-0.5
