puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-2,-3.1
dotogether-o.lgp,T,-2,-2.8
dotogether-m.lgp,T,-3,-3.1
dotogether-b.lgp,T,-3,-3.6
dotogether-n.lgp,T,-3,-3.4
dotogether-c.lgp,T,-2,-3.2
dotogether-d.lgp,T,-3,-3.4
dotogether-i.lgp,T,-3,-3.1
dotogether-l.lgp,T,-2,-3.4
dotogether-j.lgp,T,-3,-2.7
dotogether-g.lgp,T,-3,-3.6
dotogether-h.lgp,T,-2,-2.7
repeat-ee.lgp,C,-4,-2.9
repeat-gg.lgp,C,-2,-3.4
repeat-m.lgp,C,-2,-3.4
repeat-f.lgp,C,-2,-2.6
repeat-b.lgp,C,-2,-2.0
repeat-g.lgp,C,-2,-2.6
repeat-cc.lgp,CbCe,-2,-1.5999999
repeat-a.lgp,C,-2,-3.2
repeat-hh.lgp,CbCe,-2,-1.8
repeat-dd.lgp,CbCe,-2,-1.8
repeat-ff.lgp,CbCe,-2,-1.5999999
repeat-j.lgp,CbTe,-3,-2.7
repeat-o.lgp,CbTe,-3,-2.7
repeat-w.lgp,TbCe,-1,-1.3
repeat-i.lgp,CbTe,-2,-2.7
repeat-l.lgp,TbCe,-1,-1.8
repeat-q.lgp,TbCe,-1,-1.5999999
repeat-p.lgp,TbCe,-1,-1.4000001
repeat-y.lgp,TbCe,-3,-1.2
repeat-z.lgp,CbTe/TbCe,-2,-2.15
repeat-aa.lgp,CbTe/TbCe,-2,-2.15
doinorder-a.lgp,TbOe,-3,-3.1
doinorder-k.lgp,TbOe,-3,-3.1
doinorder-l.lgp,TbOe,-2,-3.1
doinorder-w.lgp,TbOe,-3,-2.3
doinorder-n.lgp,TbOe,-3,-2.2
doinorder-g.lgp,TbOe,-3,-2.2
doinorder-b.lgp,TbOe,-3,-2.1
doinorder-o.lgp,TbOe,-3,-2.1
doinorder-d.lgp,TbOe,-3,-3.1
doinorder-p.lgp,TbOe,-3,-3.1
doinorder-q.lgp,TbOe,-3,-3.0
doinorder-r.lgp,TbOe,-1,-2.3
doinorder-s.lgp,TbObTee,-3,-1.0999999
doinorder-y.lgp,TbOe,-3,-2.4
doinorder-t.lgp,TbObTee,-2,-1.7
doinorder-m.lgp,TbObTee,-1,-2.3
doinorder-u.lgp,TbObTee,-2,-1.0999999
doinorder-bb.lgp,TbObTee,-3,-1.2
doinorder-e.lgp,TbObTee,-3,-1.2
doinorder-cc.lgp,TbObTee,-1,-2.4
doinorder-h.lgp,TbObTee,0,-0.9000001
doinorder-v.lgp,TbObTee,-2,-1.0999999
doinorder-j.lgp,TbObTee,-2,-1.2
repeat-t.lgp,CbTe/TbCe,-1,-1.7
repeat-u.lgp,TbObTee,-2,-1.8
integrative-e.lgp,TbOe,-2,-3.0
repeat-bb.lgp,CbTe/TbCe,-2,-2.1
integrative-b.lgp,TbOe,-3,-2.1
integrative-i.lgp,TbCOe,-2,-2.5
integrative-c.lgp,TbOe,-2,-2.1
integrative-f.lgp,TbCOe,-1,-2.5
integrative-g.lgp,TbObCee,-2,-2.6
integrative-h.lgp,TbOe,-3,-3.0
