puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-4,-2.3
dotogether-o.lgp,T,-3,-2.9
dotogether-n.lgp,T,-4,-3.2
dotogether-m.lgp,T,-4,-3.5
dotogether-e.lgp,T,-4,-3.2
dotogether-d.lgp,T,-4,-3.5
dotogether-l.lgp,T,-3,-3.8
dotogether-f.lgp,T,-3,-3.2
dotogether-j.lgp,T,0,-2.9
dotogether-g.lgp,T,-3,-3.0
dotogether-h.lgp,T,-3,-2.9
repeat-e.lgp,C,-3,-2.8
repeat-m.lgp,C,-2,-3.1
repeat-f.lgp,C,0,-2.4
repeat-a.lgp,C,-3,-2.8
repeat-b.lgp,C,-1,-2.6
repeat-cc.lgp,CbCe,-2,-2.3
repeat-hh.lgp,CbCe,-2,-1.5
repeat-c.lgp,CbCe,-2,-1.8
repeat-ff.lgp,CbCe,-3,-1.7
repeat-o.lgp,CbTe,-4,-3.1
repeat-n.lgp,CbTe,-2,-3.4
repeat-x.lgp,TbCe,-3,-0.5999999
repeat-w.lgp,TbCe,-3,-2.6
repeat-p.lgp,TbCe,-3,-2.3
repeat-r.lgp,TbCe,-2,-2.2
repeat-y.lgp,TbCe,-2,-1.8
repeat-s.lgp,CbTe/TbCe,1,-2.15
repeat-aa.lgp,CbTe/TbCe,5,-1.15
repeat-z.lgp,CbTe/TbCe,-3,-1.1500001
repeat-aa.lgp,CbTe/TbCe,-3,-1.15
doinorder-a.lgp,TbOe,-3,-1.5999999
doinorder-f.lgp,TbOe,-4,-2.9
doinorder-k.lgp,TbOe,-3,-2.7
doinorder-w.lgp,TbOe,-3,-2.4
doinorder-b.lgp,TbOe,5,-0.4000001
doinorder-b.lgp,TbOe,-2,-0.4000001
doinorder-o.lgp,TbOe,5,1.9000001
doinorder-n.lgp,TbOe,5,1.4000001
doinorder-l.lgp,TbOe,5,0.4000001
doinorder-o.lgp,TbOe,3,1.9000001
doinorder-g.lgp,TbOe,-3,0.0
doinorder-q.lgp,TbOe,2,0.0
doinorder-p.lgp,TbOe,-3,-1.5999999
doinorder-y.lgp,TbOe,-3,-1.0999999
doinorder-s.lgp,TbObTee,-3,-1.2
doinorder-r.lgp,TbOe,1,-1.5999999
doinorder-m.lgp,TbObTee,-1,-0.79999995
doinorder-cc.lgp,TbObTee,-3,0.0
doinorder-e.lgp,TbObTee,-4,-0.5
doinorder-bb.lgp,TbObTee,-3,-0.79999995
repeat-t.lgp,CbTe/TbCe,-2,-0.20000005
repeat-bb.lgp,CbTe/TbCe,-1,-0.6
repeat-u.lgp,TbObTee,-1,-0.9000001
integrative-h.lgp,TbOe,-3,-2.2
integrative-i.lgp,TbCOe,-3,-2.5
integrative-f.lgp,TbCOe,5,-2.5
integrative-b.lgp,TbOe,-2,-1.4000001
integrative-c.lgp,TbOe,-1,-1.2
integrative-g.lgp,TbObCee,5,-2.6
integrative-g.lgp,TbObCee,5,-2.6
integrative-g.lgp,TbObCee,-3,-2.6
