puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-4,-3.2
dotogether-m.lgp,T,-4,-3.2
dotogether-b.lgp,T,-4,-4.0
dotogether-o.lgp,T,-4,-3.5
dotogether-d.lgp,T,1,-3.5
dotogether-c.lgp,T,1,-2.8
dotogether-e.lgp,T,-3,-1.5999999
dotogether-i.lgp,T,5,-0.5999999
dotogether-l.lgp,T,1,-0.099999905
dotogether-f.lgp,T,5,0.099999905
dotogether-f.lgp,T,-3,0.099999905
dotogether-i.lgp,T,-4,-0.5999999
dotogether-g.lgp,T,-4,-1.0999999
dotogether-j.lgp,T,1,-0.099999905
dotogether-n.lgp,T,-4,-0.5
dotogether-k.lgp,T,-3,-0.29999995
dotogether-h.lgp,T,1,-0.9000001
repeat-ee.lgp,C,-4,-2.9
repeat-gg.lgp,C,-4,-3.3
repeat-f.lgp,C,-4,-3.2
repeat-e.lgp,C,-4,-3.4
repeat-b.lgp,C,-3,-3.4
repeat-g.lgp,C,1,-3.5
repeat-dd.lgp,CbCe,5,-0.5
repeat-a.lgp,C,1,-2.8
repeat-cc.lgp,CbCe,5,3.4
repeat-m.lgp,C,1,-1.5999999
repeat-hh.lgp,CbCe,5,2.6999998
repeat-c.lgp,CbCe,5,3.4
repeat-cc.lgp,CbCe,-3,3.4
repeat-ff.lgp,CbCe,1,3.0
repeat-o.lgp,CbTe,-4,-2.0
repeat-i.lgp,CbTe,-4,-2.0
repeat-j.lgp,CbTe,-4,-1.3
repeat-x.lgp,TbCe,-4,-0.5
repeat-l.lgp,TbCe,5,2.1
repeat-n.lgp,CbTe,1,-1.7
repeat-w.lgp,TbCe,1,0.8000002
repeat-p.lgp,TbCe,5,1.6999998
repeat-r.lgp,TbCe,5,1.8000002
repeat-r.lgp,TbCe,1,1.8000002
repeat-y.lgp,TbCe,5,0.9000001
repeat-q.lgp,TbCe,1,0.6999998
repeat-p.lgp,TbCe,5,1.6999998
repeat-y.lgp,TbCe,5,0.9000001
repeat-l.lgp,TbCe,1,2.1
repeat-z.lgp,CbTe/TbCe,5,-0.3499999
repeat-y.lgp,TbCe,-3,0.9000001
repeat-s.lgp,CbTe/TbCe,1,-0.7500001
repeat-aa.lgp,CbTe/TbCe,1,-1.35
doinorder-a.lgp,TbOe,-4,0.9000001
doinorder-k.lgp,TbOe,-4,-2.2
doinorder-f.lgp,TbOe,-4,-2.6
doinorder-w.lgp,TbOe,1,-1.5999999
doinorder-b.lgp,TbOe,5,2.8000002
doinorder-l.lgp,TbOe,1,1.5
doinorder-o.lgp,TbOe,5,2.9
doinorder-n.lgp,TbOe,-4,2.6
doinorder-g.lgp,TbOe,5,1.1999998
doinorder-o.lgp,TbOe,5,2.9
doinorder-b.lgp,TbOe,5,2.8000002
doinorder-g.lgp,TbOe,5,1.1999998
