puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,0,-3.1
dotogether-b.lgp,T,-2,-2.5
dotogether-m.lgp,T,-2,-2.6
dotogether-n.lgp,T,-3,-2.6
dotogether-e.lgp,T,3,-2.9
dotogether-c.lgp,T,1,-1.8
dotogether-i.lgp,T,-2,-1.5999999
dotogether-l.lgp,T,1,-1.0
dotogether-j.lgp,T,4,-0.5999999
dotogether-g.lgp,T,-4,-0.5999999
dotogether-h.lgp,T,5,-1.0999999
dotogether-d.lgp,T,-2,-0.79999995
dotogether-f.lgp,T,1,-1.3
dotogether-k.lgp,T,-4,-0.9000001
dotogether-h.lgp,T,0,-1.0999999
repeat-gg.lgp,C,-2,-2.6
repeat-e.lgp,C,-4,-3.0
repeat-m.lgp,C,-4,-3.0
repeat-f.lgp,C,-4,-2.9
repeat-ee.lgp,C,-4,-3.5
repeat-g.lgp,C,-3,-2.8
repeat-a.lgp,C,-2,-3.1
repeat-b.lgp,C,-2,-2.8
repeat-hh.lgp,CbCe,-3,0.9000001
repeat-dd.lgp,CbCe,3,0.5999999
repeat-ii.lgp,CbCe,2,-1.2
repeat-c.lgp,CbCe,-3,-0.099999905
repeat-ff.lgp,CbCe,-1,-1.0
repeat-o.lgp,CbTe,-3,-2.4
repeat-j.lgp,CbTe,-4,-1.7
repeat-w.lgp,TbCe,2,0.19999981
repeat-l.lgp,TbCe,-4,-0.5999999
repeat-x.lgp,TbCe,-4,-2.0
repeat-q.lgp,TbCe,-4,-1.7
repeat-n.lgp,CbTe,2,-2.5
repeat-y.lgp,TbCe,5,-0.099999905
repeat-r.lgp,TbCe,-2,0.4000001
repeat-p.lgp,TbCe,5,-0.20000005
repeat-z.lgp,CbTe/TbCe,5,-0.9499999
repeat-z.lgp,CbTe/TbCe,-1,-0.9499999
repeat-y.lgp,TbCe,0,-0.099999905
repeat-s.lgp,CbTe/TbCe,2,-0.29999995
repeat-p.lgp,TbCe,0,-0.20000005
