puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-3.1
dotogether-n.lgp,T,-4,-3.4
dotogether-m.lgp,T,-4,-3.5
dotogether-b.lgp,T,-4,-3.8
dotogether-e.lgp,T,-1,-3.5
dotogether-o.lgp,T,1,-3.0
dotogether-l.lgp,T,-2,-2.9
dotogether-c.lgp,T,-1,-2.6
dotogether-f.lgp,T,-1,-2.4
dotogether-d.lgp,T,-2,-2.8
dotogether-j.lgp,T,-2,-2.2
dotogether-i.lgp,T,-2,-2.0
dotogether-g.lgp,T,0,-2.9
dotogether-k.lgp,T,0,-1.5
dotogether-h.lgp,T,0,-1.4000001
repeat-ee.lgp,C,-3,-2.7
repeat-gg.lgp,C,-2,-3.0
repeat-f.lgp,C,-2,-2.5
repeat-e.lgp,C,1,-3.1
repeat-m.lgp,C,-3,-2.6
repeat-g.lgp,C,0,-2.1
repeat-b.lgp,C,2,-1.7
repeat-a.lgp,C,-2,-2.4
repeat-cc.lgp,CbCe,-1,-0.4000001
repeat-dd.lgp,CbCe,5,0.4000001
