puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-4,-2.8
dotogether-a.lgp,T,-2,-2.3
dotogether-n.lgp,T,-3,-2.8
dotogether-o.lgp,T,-1,-3.3
dotogether-m.lgp,T,-3,-2.9
dotogether-d.lgp,T,-1,-3.1
dotogether-e.lgp,T,-1,-1.9000001
dotogether-c.lgp,T,-1,-2.7
dotogether-l.lgp,T,-1,-2.3
dotogether-f.lgp,T,1,-2.1
dotogether-i.lgp,T,1,-1.5
dotogether-j.lgp,T,-1,-1.4000001
dotogether-g.lgp,T,1,-2.0
dotogether-k.lgp,T,-1,-1.5
dotogether-h.lgp,T,-1,-1.5999999
repeat-gg.lgp,C,-1,-2.7
repeat-ee.lgp,C,-3,-2.9
repeat-f.lgp,C,3,-2.8
repeat-e.lgp,C,-1,-2.6
repeat-m.lgp,C,-1,-2.6
repeat-g.lgp,C,-1,-1.8
repeat-a.lgp,C,-1,-2.6
repeat-b.lgp,C,-1,-2.3
repeat-cc.lgp,CbCe,5,2.0
repeat-c.lgp,CbCe,2,1.5
repeat-cc.lgp,CbCe,-1,2.0
repeat-dd.lgp,CbCe,-1,2.6999998
repeat-hh.lgp,CbCe,-1,2.1
repeat-ii.lgp,CbCe,-1,1.9000001
repeat-ff.lgp,CbCe,-1,1.9000001
repeat-j.lgp,CbTe,-1,-2.6
repeat-i.lgp,CbTe,-3,-2.6
repeat-o.lgp,CbTe,-3,-2.5
repeat-n.lgp,CbTe,-1,-1.8
repeat-w.lgp,TbCe,1,0.5
repeat-x.lgp,TbCe,-1,0.0
repeat-l.lgp,TbCe,-3,-0.9000001
repeat-q.lgp,TbCe,-1,-0.099999905
repeat-y.lgp,TbCe,-1,0.3000002
repeat-r.lgp,TbCe,1,-0.5999999
repeat-p.lgp,TbCe,-1,0.8000002
repeat-s.lgp,CbTe/TbCe,5,-1.0500001
repeat-s.lgp,CbTe/TbCe,2,-1.0500001
repeat-z.lgp,CbTe/TbCe,1,-1.55
repeat-aa.lgp,CbTe/TbCe,-1,-1.5
doinorder-a.lgp,TbOe,-1,-0.20000005
doinorder-f.lgp,TbOe,-2,-0.5
doinorder-n.lgp,TbOe,-1,-1.4000001
doinorder-l.lgp,TbOe,-1,-0.099999905
doinorder-w.lgp,TbOe,5,0.9000001
doinorder-k.lgp,TbOe,-1,-0.4000001
doinorder-w.lgp,TbOe,2,0.9000001
doinorder-o.lgp,TbOe,2,1.1999998
doinorder-b.lgp,TbOe,-1,-0.5999999
doinorder-x.lgp,TbOe,-1,0.3000002
doinorder-g.lgp,TbOe,2,-1.2
doinorder-p.lgp,TbOe,-1,0.19999981
doinorder-d.lgp,TbOe,-1,-0.29999995
doinorder-q.lgp,TbOe,-1,-1.2
doinorder-y.lgp,TbOe,-2,0.9000001
doinorder-s.lgp,TbObTee,3,0.4000001
