puzzle,model,cogLoad,predicted
dotogether-n.lgp,T,-3,-1.7
dotogether-m.lgp,T,-3,-1.0999999
dotogether-b.lgp,T,-3,-2.0
dotogether-e.lgp,T,3,-3.0
dotogether-a.lgp,T,-3,-1.8
dotogether-c.lgp,T,-3,-1.0999999
dotogether-i.lgp,T,-2,-1.0
dotogether-l.lgp,T,-1,-2.3
dotogether-j.lgp,T,2,-2.2
dotogether-f.lgp,T,1,-1.5
dotogether-h.lgp,T,1,-1.3
repeat-ee.lgp,C,-3,-2.8
repeat-m.lgp,C,-3,-2.9
repeat-f.lgp,C,-2,-2.1
repeat-gg.lgp,C,-2,-3.0
repeat-b.lgp,C,-2,-2.7
repeat-a.lgp,C,-1,-3.0
repeat-g.lgp,C,-2,-2.3
repeat-cc.lgp,CbCe,-2,1.1999998
repeat-hh.lgp,CbCe,1,1.1999998
repeat-dd.lgp,CbCe,1,1.1999998
repeat-ff.lgp,CbCe,-1,1.6999998
repeat-j.lgp,CbTe,-1,-1.9000001
repeat-o.lgp,CbTe,-1,-2.4
repeat-i.lgp,CbTe,-1,-2.6
repeat-w.lgp,TbCe,1,2.6
repeat-l.lgp,TbCe,-3,0.5999999
repeat-n.lgp,CbTe,-2,-2.0
repeat-y.lgp,TbCe,2,-0.099999905
repeat-r.lgp,TbCe,3,0.099999905
repeat-p.lgp,TbCe,1,0.0
repeat-q.lgp,TbCe,2,0.3000002
repeat-z.lgp,CbTe/TbCe,2,-1.15
repeat-s.lgp,CbTe/TbCe,5,-0.9
repeat-s.lgp,CbTe/TbCe,4,-0.9
repeat-x.lgp,TbCe,-1,-0.5999999
repeat-aa.lgp,CbTe/TbCe,0,-1.3
doinorder-l.lgp,TbOe,0,0.4000001
doinorder-k.lgp,TbOe,0,-0.4000001
doinorder-n.lgp,TbOe,5,0.3000002
doinorder-a.lgp,TbOe,1,1.0
doinorder-w.lgp,TbOe,3,1.0
doinorder-f.lgp,TbOe,0,0.19999981
doinorder-b.lgp,TbOe,1,0.0
doinorder-o.lgp,TbOe,2,0.5999999
doinorder-x.lgp,TbOe,1,2.1999998
doinorder-d.lgp,TbOe,1,0.4000001
doinorder-q.lgp,TbOe,0,0.0
doinorder-r.lgp,TbOe,1,1.0
doinorder-y.lgp,TbOe,1,1.8000002
doinorder-p.lgp,TbOe,0,0.3000002
doinorder-z.lgp,TbObTee,1,1.9000001
doinorder-t.lgp,TbObTee,2,2.1
doinorder-u.lgp,TbObTee,0,2.1
doinorder-bb.lgp,TbObTee,1,0.8000002
doinorder-e.lgp,TbObTee,1,2.1
doinorder-h.lgp,TbObTee,1,0.8000002
doinorder-v.lgp,TbObTee,2,2.1
repeat-t.lgp,CbTe/TbCe,3,-0.75
doinorder-j.lgp,TbObTee,0,2.5
doinorder-cc.lgp,TbObTee,0,2.1
repeat-bb.lgp,CbTe/TbCe,1,-0.14999998
repeat-u.lgp,TbObTee,1,1.4000001
integrative-b.lgp,TbOe,0,-0.70000005
