puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-3,-2.8
dotogether-a.lgp,T,-1,-2.2
dotogether-m.lgp,T,-3,-3.2
dotogether-n.lgp,T,-3,-3.2
dotogether-e.lgp,T,-1,-3.2
dotogether-d.lgp,T,-1,-3.1
dotogether-c.lgp,T,1,-2.5
dotogether-l.lgp,T,0,-2.1
dotogether-f.lgp,T,-1,-1.9000001
dotogether-i.lgp,T,-1,-1.7
dotogether-k.lgp,T,1,-1.7
dotogether-h.lgp,T,-1,-1.3
repeat-e.lgp,C,1,-2.5
repeat-gg.lgp,C,-3,-2.6
repeat-f.lgp,C,1,-2.4
repeat-m.lgp,C,-1,-2.7
repeat-b.lgp,C,1,-1.5999999
repeat-g.lgp,C,-1,-2.5
repeat-a.lgp,C,-3,-2.6
repeat-hh.lgp,CbCe,5,1.5999999
repeat-ee.lgp,C,-4,-2.5
repeat-cc.lgp,CbCe,1,3.5
repeat-ii.lgp,CbCe,3,3.0
repeat-dd.lgp,CbCe,1,2.4
repeat-c.lgp,CbCe,5,3.8000002
repeat-ff.lgp,CbCe,5,0.6999998
repeat-hh.lgp,CbCe,5,1.5999999
repeat-c.lgp,CbCe,5,3.8000002
repeat-c.lgp,CbCe,3,3.8000002
repeat-hh.lgp,CbCe,2,1.5999999
repeat-ff.lgp,CbCe,3,0.6999998
repeat-j.lgp,CbTe,-2,-2.6
repeat-n.lgp,CbTe,-2,-2.1
repeat-l.lgp,TbCe,5,1.8000002
repeat-w.lgp,TbCe,-1,2.8000002
repeat-x.lgp,TbCe,-1,1.3000002
repeat-p.lgp,TbCe,-3,1.8000002
repeat-r.lgp,TbCe,1,0.9000001
repeat-q.lgp,TbCe,5,1.3000002
repeat-q.lgp,TbCe,5,1.3000002
repeat-y.lgp,TbCe,5,1.5
repeat-q.lgp,TbCe,3,1.3000002
repeat-z.lgp,CbTe/TbCe,-1,-0.35000014
repeat-s.lgp,CbTe/TbCe,1,0.19999993
repeat-i.lgp,CbTe,-1,-1.3
repeat-o.lgp,CbTe,-3,-1.4000001
repeat-aa.lgp,CbTe/TbCe,1,0.49999988
doinorder-a.lgp,TbOe,-1,1.5
doinorder-k.lgp,TbOe,-1,-0.20000005
doinorder-f.lgp,TbOe,-1,0.4000001
doinorder-w.lgp,TbOe,-1,1.5
doinorder-b.lgp,TbOe,5,2.1999998
doinorder-b.lgp,TbOe,-1,2.1999998
doinorder-o.lgp,TbOe,5,1.1999998
doinorder-l.lgp,TbOe,-3,1.5
doinorder-n.lgp,TbOe,5,1.5
doinorder-g.lgp,TbOe,-1,1.9000001
doinorder-x.lgp,TbOe,5,0.9000001
doinorder-n.lgp,TbOe,-1,1.5
doinorder-o.lgp,TbOe,5,1.1999998
doinorder-x.lgp,TbOe,5,0.9000001
