puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-1,-2.9
dotogether-n.lgp,T,-3,-2.8
dotogether-m.lgp,T,-4,-2.6
dotogether-o.lgp,T,5,-1.3
dotogether-o.lgp,T,-4,-1.3
dotogether-a.lgp,T,-4,-0.9000001
dotogether-e.lgp,T,-2,-0.20000005
dotogether-c.lgp,T,-3,-1.3
dotogether-i.lgp,T,-4,-1.9000001
dotogether-f.lgp,T,-3,-1.0999999
dotogether-l.lgp,T,-4,-1.7
dotogether-k.lgp,T,-2,-1.4000001
dotogether-h.lgp,T,-4,-1.0999999
repeat-e.lgp,C,-4,-3.4
repeat-ee.lgp,C,-4,-3.4
repeat-gg.lgp,C,-4,-3.6
repeat-m.lgp,C,-4,-3.5
repeat-a.lgp,C,-3,-3.5
repeat-c.lgp,CbCe,-2,-1.4000001
repeat-ff.lgp,CbCe,5,2.4
repeat-dd.lgp,CbCe,5,3.8000002
repeat-ii.lgp,CbCe,5,2.6
repeat-ii.lgp,CbCe,4,2.6
repeat-ff.lgp,CbCe,0,2.4
repeat-o.lgp,CbTe,-4,-2.5
